city,neighborhood,total_listings,avg_price,median_price,avg_availability_rate,avg_occupancy_proxy,avg_estimated_annual_revenue,avg_recent_reviews,avg_reviews_per_month,avg_rating,avg_price_per_guest,pricing_score,demand_score,revenue_score,rating_score,competition_score,market_opportunity_score
Milan,XXII MARZO,556,173.38309352517985,135.5,0.5754410170493742,0.4245589829506258,26978.205035971223,13.548561151079136,1.4835791366906474,4.729957894736843,55.95759645530329,43.7088464046726,45.89317554365376,54.25755593884665,58.09104830850642,96.709031743108,56.47
Rome,I Centro Storico,16307,209.5291592567609,171.0,0.6303448136819972,0.36965518631800276,27445.000674556937,19.122217452627705,1.8845508064021586,4.769607547169811,59.156191688056836,60.96857609123193,75.004680049749,55.69912581209257,71.02608272327137,0.0,55.79
Rome,II Parioli/Nomentano,2253,144.06835330670216,119.0,0.6289404082228262,0.37105959177717385,18788.915224145585,13.488681757656458,1.4810031069684864,4.772604323780794,41.91428855764741,29.711071494398766,45.580422274141554,28.967187948744154,72.00373085428464,86.28967888500031,48.36
Rome,III Monte Sacro,594,111.37205387205387,90.0,0.610797472441308,0.38920252755869195,14675.552188552188,7.363636363636363,0.9551851851851851,4.82238683127572,34.681588461575835,14.098603620757569,13.58898309291451,16.264198161177827,88.24443936462539,96.47571682937311,37.88
Rome,IV Tiburtina,593,104.65935919055649,88.0,0.6091709210191966,0.39082907898080343,14480.485666104552,11.411467116357505,1.32575042158516,4.763627049180328,33.45217283653203,10.893295011753896,34.731019275700405,15.661788886551054,69.07504551198227,96.48185669552404,39.37
Rome,IX Eur,383,123.30026109660574,91.0,0.6659751779391252,0.33402482206087486,13540.37859007833,7.234986945169712,0.8863446475195823,4.781125401929261,36.66574538023624,19.794317059389225,12.917040310156647,12.758526888365388,74.78358975185412,97.7712285872168,36.61
Rome,V Prenestino/Centocelle,1683,92.12418300653594,80.0,0.6043366786316021,0.3956633213683979,13130.107546048723,14.06179441473559,1.5621865715983363,4.781628551628552,31.818340972752736,4.907754175408845,48.57382028729567,11.49151767051977,74.94773390638649,89.78940259102352,40.38
Rome,VI Roma delle Torri,312,87.39423076923077,73.5,0.6759395855286267,0.32406041447137335,9409.03205128205,5.509615384615385,0.8095512820512821,4.7560569105691055,29.360316188441185,2.649204167436708,3.905332511487641,0.0,66.60541469677538,98.20715908393197,26.36
Rome,VII San Giovanni/Cinecittà,2944,125.62771739130434,104.0,0.6297191408576533,0.37028085914234665,16554.042119565216,13.246263586956522,1.488203125,4.7989265982636145,37.32939927345073,20.905676364772244,44.31425922301661,22.065397375353744,80.59093163456356,82.04703137471603,45.11
Rome,VIII Appia Antica,1079,117.67377201112141,102.0,0.6494445643480138,0.35055543565198627,14875.735866543095,12.338276181649675,1.3817701575532901,4.817333333333333,36.662721893491124,17.107671120631114,39.57179251696515,16.882410362520545,86.5958203783624,93.49788174617794,44.56
Rome,X Ostia/Acilia,975,105.46358974358975,90.0,0.6283245521601686,0.37167544783983136,14085.646153846154,7.178461538461539,0.941497435897436,4.763230198019802,29.25463051336128,11.277314729255226,12.62180509236314,14.44243570800951,68.94557947372091,94.1364278258734,33.33
Rome,XI Arvalia/Portuense,634,104.98895899053628,87.0,0.6334644138109848,0.36653558618901516,13827.993690851736,9.881703470031546,1.173943217665615,4.811832061068703,32.369990548795755,11.050678763961951,26.74098205885484,13.646746978899499,84.80112252600964,96.2301221833364,39.33
Rome,XII Monte Verde,1740,127.47068965517241,108.0,0.6231239174933081,0.37687608250669186,16940.222988505746,13.404597701149426,1.459051724137931,4.802118320610687,37.67907310202569,21.785694769275867,45.14124675676796,23.25801071676219,81.63217754388293,89.4394302204212,47.04
Rome,XIII Aurelia,2435,149.3277207392197,121.0,0.6340524879750218,0.3659475120249782,19730.999178644764,13.494045174537987,1.4971129363449691,4.8043977055449325,41.40872712731029,32.222417013483444,45.60843568692973,31.876554992080454,82.37578866680013,85.17222324553325,50.97
Rome,XIV Monte Mario,769,118.39661898569571,97.0,0.6537078931898748,0.3462921068101252,13614.055916775033,8.8296488946684,1.0742912873862158,4.79254746835443,34.16227243172952,17.452830217019276,21.246044830157576,12.986059036757048,78.50984744218489,95.40124025296248,38.36
Rome,XV Cassia/Flaminia,524,121.46946564885496,96.0,0.682583917180801,0.317416082819199,13549.40648854962,5.719465648854962,0.7783969465648855,4.771460396039604,39.3996075436438,18.92011307895565,5.001391647986318,12.786407068425262,71.63054360566233,96.90550745993737,33.82
